MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
5.4,196,0,0,0
5.4,168,0,0,0
6,424,0,0,0
5,513,0,0,0
5.3,461,0,0,0
5.1,244,0,0,0
5.8,558,0,0,0
6,513,0,0,0
5.7,153,0,0,0
5.8,523,0,0,0
5.4,550,0,0,0
5.4,559,0,0,0
5.9,534,0,0,0
5.9,549,0,0,0
5.7,256,0,0,0
5.2,177,0,0,0
5.2,568,0,0,0
5.1,584,0,0,0
5.1,373,0,0,0
5,210,0,0,0
5.6,590,0,0,0
5.3,612,0,0,0
5.2,589,0,0,0
5.4,246,0,0,0
5.2,246,0,0,0
5.3,602,0,0,0
5.4,615,0,0,0
5.4,161,0,0,0
5,560,0,0,0
5.6,566,0,0,0
5.4,579,0,0,0
5,593,0,0,0
5.3,595,0,0,0
5,188,0,0,0
5.1,405,0,0,0
5,190,0,0,0
6.9,136,1,-318.683,0
6.6,153,0,0,0
7,154,0,0,0
6.3,156,1,-778.518,0
6,156,0,0,0
6,157,0,0,0
6,162,0,0,0
7,164,0,0,0
6.7,171,0,0,0
6.3,171,0,0,0
7,172,0,0,0
6,173,0,0,0
6.7,174,0,0,0
6,182,0,0,0
6.1,182,0,0,0
6.2,184,0,0,0
6.2,185,0,0,0
6.4,185,0,0,0
6,185,0,0,0
6.4,187,0,0,0
6.2,191,1,-1269.84,0
6.7,193,0,0,0
6.2,193,0,0,0
6.7,195,0,0,0
6.3,195,0,0,0
6.7,198,0,0,0
6.4,200,0,0,0
6.9,202,0,0,0
6.2,203,0,0,0
6.3,204,1,-1283.37,0
6.8,207,0,0,0
6.6,210,1,-1284.7,0
6,210,0,0,0
6.1,212,1,-1281.34,0
6.3,215,0,0,0
6.7,216,0,0,0
6.2,217,0,0,0
6,223,1,-1263.45,0
6.9,225,0,0,0
6.2,228,0,0,0
6.2,249,0,0,0
6,251,0,0,0
6,268,0,0,0
6,268,0,0,0
6.8,289,0,0,0
6.2,331,0,0,0
6.1,339,0,0,0
6.1,354,0,0,0
6.2,356,0,0,0
6.4,359,0,0,0
6.7,361,0,0,0
6,370,0,0,0
6.2,375,0,0,0
6,395,0,0,0
6.9,400,0,0,0
6.2,403,0,0,0
6.4,419,0,0,0
6.9,419,0,0,0
6,424,0,0,0
6.6,429,0,0,0
6.1,432,0,0,0
6.1,433,0,0,0
6.3,453,0,0,0
6.5,480,0,0,0
6.1,483,0,0,0
6.3,486,0,0,0
6.3,494,0,0,0
6.2,498,0,0,0
6.7,501,0,0,0
6,513,0,0,0
6.2,516,0,0,0
6.1,534,1,-320.329,0
6,535,0,0,0
6.7,536,0,0,0
6.6,537,0,0,0
6.2,541,0,0,0
6.4,541,0,0,0
6.5,543,0,0,0
6.6,545,0,0,0
6,546,0,0,0
6.3,550,1,-143.908,0
6.3,556,0,0,0
6.4,565,0,0,0
6.8,570,1,-165.379,0
6.1,571,1,-280.085,0
6.1,571,0,0,0
6.6,578,1,-332.49,0
6.3,580,0,0,0
6,582,0,0,0
6.4,585,0,0,0
6.5,591,0,0,0
6.7,602,0,0,0
6,603,0,0,0
6.1,615,0,0,0
6.4,617,0,0,0
6.7,629,0,0,0
6.3,631,0,0,0
6.1,632,0,0,0
6.1,657,0,0,0
7.5,210,1,-1263.45,0
7.3,378,0,0,0
7.6,610,0,0,0
7.5,592,0,0,0
7.6,301,0,0,0
7.8,677,0,0,0
7,172,0,0,0
7.2,628,0,0,0
7.5,628,0,0,0
7.3,608,0,0,0
7,409,0,0,0
8.3,605,0,0,0
